Date,Category,Fund,Amount,Note
2016-09-26,Food,Restaurants,5.47,McDonalds
2016-09-26,Housing,Down Payment,31.11,Target - Replacement Shirts
2016-09-27,Food,Restaurants,13,Moes
2016-09-27,Medical / Health,Doctor Bills,108.9,Atlanta Dermatology
2016-09-30,Utilities,Phone / Mobile,60,Phone Cindy
2016-09-30,Food,Groceries,20.37,Walmart Odds and Ins
2016-09-30,Personal,Pocket Money (Hers),4.06,Walmart Face Masks and Tea
2016-09-30,Recreational,Entertainment,20.08,Kroger - Cheer Jamie Up Crying
2016-09-30,Personal,Pocket Money (His),10,Darren Cash
2016-09-30,Housing,Down Payment,88.47,MISC THINGS ON CREDIT CARD JULY NOT ACCOUNTED FOR
2016-10-01,Food,Restaurants,48,Red Lobster
2016-10-01,Food,Groceries,17.44,Walmart
2016-10-03,Housing,First Mortgage / Rent,877,Rent
2016-10-03,Housing,Down Payment,150,Pet Fee
2016-10-03,Utilities,Internet,52.73,Comcast
2016-10-03,Utilities,Water,66.89,Water Bill
2016-10-04,Recreational,Vacation,821.22,Tickets to Idaho
2016-10-04,Food,Restaurants,10.9,Publix Sub
2016-10-05,Insurance,Health Insurance,151.21,BCBS
2016-10-05,Recreational,Entertainment,1.08,Kroger
2016-10-05,Transportation,Gas & Oil,25.95,Kroger
2016-10-05,Food,Groceries,59.76,ALDI
2016-10-06,Personal,Pocket Money (His),11.96,CMON INC
2016-10-06,Food,Restaurants,6.44,Bojangles Kennesaw
2016-10-06,Food,Groceries,12.47,Kroger
2016-10-06,Recreational,Entertainment,5,Trailhead
2016-10-06,Recreational,Entertainment,8.4,Alliance
2016-10-07,Recreational,Entertainment,9.19,The Hill
2016-10-09,Food,Groceries,2.14,Kroger
2016-10-11,Utilities,Electricity,91.13,KUB
2016-10-11,Transportation,Gas & Oil,18.12,QT Acworth
2016-10-11,Food,Groceries,4.16,Walmart - Knoxville
2016-10-11,Food,Restaurants,2.93,McDonald's
2016-10-12,Personal,Cosmetics / Hair Care,20.33,WALMART TRIP TOTAL 60.33 10/12
2016-10-12,Food,Groceries,22,WALMART TRIP TOTAL 60.33 10/12
2016-10-12,Personal,Toiletries,18,WALMART TRIP TOTAL 60.33 10/12
2016-10-12,Transportation,Gas & Oil,20.72,SAMS
2016-10-13,Food,Restaurants,24.28,Soccer Taco
2016-10-14,Transportation,Gas & Oil,21.14,Cartersville
2016-10-14,Personal,Pocket Money (His),80,RIOTGAMES
2016-10-17,Food,Restaurants,3.4,Chick Fil A Cartersville
2016-10-17,Food,Groceries,15.22,Kroger
2016-10-17,Personal,Cosmetics / Hair Care,8.63,Target - Hiram - Face strips
2016-10-17,Food,Restaurants,5.1,Waffle House
2016-10-18,Debts,2014 Kia Soul,262.47,Kia 2014
2016-10-18,Food,Groceries,83.17,ALDI
2016-10-18,Food,Restaurants,2.6,Wendy's
2016-10-18,Personal,Pocket Money (Hers),26.21,Lucky Brand
2016-10-18,Clothing,Jamie,10.6,Forever 21
2016-10-19,Food,Restaurants,3.82,UTK
2016-10-19,Food,Groceries,8.22,Sunrise Supermarket
2016-10-19,Food,Groceries,4.98,Kichi
2016-10-20,Food,Groceries,26.48,Kroger
2016-10-21,Recreational,Entertainment,43,Clancy's - Mig and Britt
2016-10-21,Personal,Pocket Money (Hers),12.99,RING
2016-10-24,Transportation,Gas & Oil,20.79,Sams Gas
2016-10-24,Food,Restaurants,11.38,Casual Pint
2016-10-24,Food,Restaurants,14.55,Soccer Taco
2016-10-24,Food,Restaurants,2.66,Longhorn - Grandma
2016-10-24,Food,Groceries,3.08,ALDI
2016-10-24,Food,Groceries,4,Walmart
2016-10-24,Transportation,Gas & Oil,20,SHELL
2016-10-25,Food,Restaurants,5.08,Dunkin Donuts
2016-10-25,Food,Groceries,9.66,Kroger
2016-10-25,Clothing,Jamie,32.76,Lucky Brand
2016-10-29,Food,Groceries,37.84,ALDI
2016-10-29,Food,Groceries,2.06,Kroger
2016-10-31,Food,Restaurants,18.32,Pelanchos
2016-10-31,Food,Restaurants,15,Waffle House
2016-10-31,Recreational,Entertainment,27.56,Middlebrook
2016-10-31,Recreational,Entertainment,6.8,Walmart B Cherries and Sprite
2016-10-31,Utilities,Phone / Mobile,60,Cell Phones Cindy
2016-10-31,Food,Groceries,4.83,Walmart C dr pepper
2016-10-31,Personal,Pet Supplies,13,Walmart B Cat Litter
2016-10-31,Personal,Cosmetics / Hair Care,7,Walmart C Biotin
2016-10-31,Recreational,Entertainment,15,Halloween Candy
2016-11-01,Insurance,Health Insurance,151.21,BCBS
2016-11-01,Utilities,Phone / Mobile,60,Phones
